Date,ARIMA_Pred
2024-06-02,9.777683924630377
2024-06-03,11.04995275534646
2024-06-04,11.662313524072566
2024-06-05,12.176881330927438
2024-06-06,12.025923550007922
2024-06-07,11.423459265635717
2024-06-08,11.20639191399795
2024-06-09,11.315109052565328
2024-06-10,11.458748784102333
2024-06-11,11.571586224733384
2024-06-12,11.59448181832887
2024-06-13,11.52782544613106
2024-06-14,11.468164548321289
2024-06-15,11.458547719102679
2024-06-16,11.476467833630227
2024-06-17,11.498518158999339
2024-06-18,11.509761930673372
2024-06-19,11.505560996940247
2024-06-20,11.495682405431587
2024-06-21,11.49025937480097
2024-06-22,11.4907007903876
2024-06-23,11.49393567353111
2024-06-24,11.49669065799108
2024-06-25,11.497218945712268
2024-06-26,11.496086586181455
2024-06-27,11.494877977995484
2024-06-28,11.494463922451049
2024-06-29,11.494751886654965
2024-06-30,11.495240002927764
2024-07-01,11.495504168609948
